City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,enewetak,11.3474,162.3373,27.72,79,92,7.97,MH,1701513484
1,kapuskasing,49.4169,-82.4331,-6.95,93,100,1.54,CA,1701513485
2,tiksi,71.6872,128.8694,-26.13,91,100,2.04,RU,1701513486
3,prince rupert,54.3161,-130.3201,5.83,90,75,7.2,CA,1701513487
4,albany,42.6001,-73.9662,5.68,91,100,1.23,US,1701513312
5,srikakulam,18.3,83.9,26.44,62,91,7.33,IN,1701513488
6,grytviken,-54.2811,-36.5092,3.3,58,100,0.67,GS,1701513489
7,viedma,-40.8135,-62.9967,16.15,54,50,4.66,AR,1701513490
8,san patricio,28.017,-97.5169,17.13,81,100,2.12,US,1701513491
9,pervomayskoye,43.919,46.7102,17.01,41,65,3.44,RU,1701513492
10,ribeira grande,38.5167,-28.7,17.22,77,75,4.92,PT,1701513247
11,port-aux-francais,-49.35,70.2167,5.04,89,100,12.52,TF,1701513493
12,uyskoye,54.3775,60.0047,-0.07,99,100,5.22,RU,1701513494
13,immokalee,26.4187,-81.4173,22.73,98,100,0.0,US,1701513495
14,blackmans bay,-43.0167,147.3167,15.07,81,100,1.35,AU,1701513496
15,rzhaksa,52.1338,42.0264,-2.94,81,100,4.56,RU,1701513497
16,waitangi,-43.9535,-176.5597,13.23,81,39,0.89,NZ,1701513498
17,college,64.8569,-147.8028,-21.01,79,0,0.0,US,1701513499
18,kingston,17.997,-76.7936,26.53,78,20,3.6,JM,1701513499
19,papatowai,-46.5619,169.4708,12.23,91,100,1.78,NZ,1701513500
20,puerto natales,-51.7236,-72.4875,3.82,91,90,4.34,CL,1701513501
21,kone,-21.0595,164.8658,24.87,78,59,1.46,NC,1701513502
22,wad rawah,15.1603,33.1397,34.45,22,15,5.13,SD,1701513503
23,tampakan,6.4442,124.9264,24.77,92,39,1.51,PH,1701513505
24,margaret river,-33.95,115.0667,18.51,85,85,4.98,AU,1701513505
25,tolanaro,-25.0319,46.9987,24.04,53,75,4.12,MG,1701513506
26,bethel,41.3712,-73.414,8.06,89,100,1.54,US,1701513507
27,adamstown,-25.066,-130.1015,21.75,86,5,6.28,PN,1701513508
28,mount gambier,-37.8333,140.7667,10.56,88,61,2.68,AU,1701513509
29,mossel bay,-34.1831,22.146,22.96,71,12,5.39,ZA,1701513510
30,tromso,69.6496,18.957,-2.99,74,0,4.63,NO,1701513511
31,tazovsky,67.4667,78.7,-25.06,93,19,4.2,RU,1701513511
32,nishinoomote,30.7333,131.0,13.51,43,9,1.33,JP,1701513512
33,edinburgh of the seven seas,-37.0676,-12.3116,13.57,79,42,4.29,SH,1701513513
34,ad dabbah,18.05,30.95,32.67,24,0,5.45,SD,1701513514
35,al kawa,13.7463,32.4996,35.65,19,64,5.0,SD,1701513515
36,port elizabeth,-33.918,25.5701,24.5,63,20,7.2,ZA,1701513516
37,idri,27.5,13.2667,24.39,13,66,5.33,LY,1701513517
38,bredasdorp,-34.5322,20.0403,22.49,53,82,5.66,ZA,1701513517
39,ust-nera,64.5667,143.2,-30.11,99,100,0.78,RU,1701513518
40,flin flon,54.7682,-101.865,-15.24,99,88,1.59,CA,1701513519
41,wailua homesteads,22.0669,-159.378,21.24,83,20,2.57,US,1701513520
42,iqaluit,63.7506,-68.5145,-6.15,62,75,6.71,CA,1701513521
43,yellowknife,62.456,-114.3525,-17.71,85,100,4.12,CA,1701513360
44,saint-georges,12.0564,-61.7485,25.82,83,20,5.14,GD,1701513522
45,odda,60.0691,6.5457,0.98,95,100,0.74,NO,1701513523
46,grand falls-windsor,48.9332,-55.6649,-1.94,93,25,2.4,CA,1701513524
47,rikaze,29.25,88.8833,2.72,22,0,1.05,CN,1701513525
48,aasiaat,68.7098,-52.8699,-12.22,85,60,3.48,GL,1701513526
49,queenstown,-31.8976,26.8753,32.26,19,97,4.04,ZA,1701513526
50,nagqu,31.5,92.0,-3.86,36,76,0.89,CN,1701513527
51,bafq,31.6128,55.4107,19.9,23,0,2.11,IR,1701513528
52,pandan,14.0453,124.1694,26.82,79,23,6.38,PH,1701513529
53,georgetown,5.4112,100.3354,28.97,74,20,3.09,MY,1701513530
54,carutapera,-1.195,-46.02,28.86,70,28,3.48,BR,1701513531
55,koungou,-12.7336,45.2042,26.84,83,75,3.09,YT,1701513532
56,uturoa,-16.7333,-151.4333,27.2,75,80,6.89,PF,1701513532
57,mahajanga,-15.7167,46.3167,32.01,62,40,4.12,MG,1701513533
58,hawaiian paradise park,19.5933,-154.9731,22.24,97,75,0.0,US,1701513534
59,kerikeri,-35.2268,173.9474,17.73,88,94,2.09,NZ,1701513535
60,esqueda,30.7167,-109.5833,3.65,83,5,1.28,MX,1701513536
61,chinchilla,-26.75,150.6333,25.28,42,1,4.07,AU,1701513537
62,kurchatov,51.6601,35.6521,-2.77,90,100,1.21,RU,1701513537
63,hermanus,-34.4187,19.2345,19.24,66,90,5.03,ZA,1701513538
64,puerto madero,14.7208,-92.4215,24.83,82,0,2.04,MX,1701513539
65,bodaybo,57.8506,114.1933,-9.9,97,100,0.41,RU,1701513540
66,petropavlovsk-kamchatsky,53.0452,158.6483,-7.67,81,40,7.6,RU,1701513541
67,jamestown,42.097,-79.2353,7.62,100,100,2.57,US,1701513464
68,shingu,33.7333,135.9833,6.16,76,6,2.92,JP,1701513542
69,ushuaia,-54.8,-68.3,4.81,81,75,7.2,AR,1701513543
70,sitka,57.0531,-135.33,5.94,56,75,3.6,US,1701513544
71,la passe,45.5549,-0.8967,3.13,71,52,2.05,FR,1701513545
72,alice springs,-23.7,133.8833,28.75,42,58,3.09,AU,1701513546
73,pundong,-7.9522,110.3486,25.95,80,100,3.41,ID,1701513547
74,klyuchi,52.2667,79.1667,1.23,79,100,5.95,RU,1701513548
75,walvis bay,-22.9575,14.5053,19.49,71,99,4.45,NA,1701513548
76,chimore,-16.9833,-65.1333,24.37,90,97,0.45,BO,1701513549
77,altdorf,49.3875,11.3572,-2.47,90,100,3.19,DE,1701513550
78,bubaque,11.2833,-15.8333,27.61,66,89,2.69,GW,1701513551
79,nova vicosa,-17.8919,-39.3719,27.99,68,37,4.92,BR,1701513552
80,zeya,53.75,127.2667,-13.62,80,100,1.37,RU,1701513553
81,acapulco de juarez,16.8634,-99.8901,26.9,83,75,2.06,MX,1701513554
82,bandarbeyla,9.4942,50.8122,27.45,58,50,12.09,SO,1701513555
83,luba,3.4568,8.5547,27.94,80,99,3.46,GQ,1701513556
84,carnarvon,-24.8667,113.6333,23.07,78,0,11.1,AU,1701513556
85,tougan,13.0667,-3.0667,36.18,11,96,5.01,BF,1701513557
86,longyearbyen,78.2186,15.6401,-8.09,73,20,8.75,SJ,1701513558
87,ilulissat,69.2167,-51.1,1.01,37,20,1.54,GL,1701513559
88,palmer,42.1584,-72.3287,7.7,82,100,1.54,US,1701513308
89,yuzhno-kurilsk,44.0306,145.8556,1.32,64,9,5.29,RU,1701513561
90,isafjordur,66.0755,-23.124,-2.98,74,0,0.0,IS,1701513562
91,ponta delgada,37.7333,-25.6667,18.4,77,40,6.17,PT,1701513563
92,port mathurin,-19.6833,63.4167,26.06,79,9,5.3,MU,1701513564
93,portland,45.5234,-122.6762,10.45,91,100,6.26,US,1701512998
94,celestun,20.8667,-90.4,23.11,94,25,4.7,MX,1701513566
95,nabire,-3.3667,135.4833,26.04,88,87,1.16,ID,1701513567
96,reggane,26.7158,0.1714,24.84,9,0,3.1,DZ,1701513568
97,gadzhiyevo,69.2551,33.3362,-10.11,96,96,2.09,RU,1701513568
98,dudinka,69.4058,86.1778,-24.66,90,6,7.26,RU,1701513569
99,novyy turtkul',41.55,61.0167,10.95,56,57,3.81,UZ,1701513329
100,alofi,-19.0595,-169.9187,25.66,83,12,7.88,NU,1701513571
101,remontnoye,46.5614,43.6501,16.9,54,93,8.64,RU,1701513572
102,princeville,45.7668,-61.2985,5.23,98,100,1.03,CA,1701513573
103,malango,-2.9627,119.9001,21.05,98,86,0.87,ID,1701513574
104,badger,64.8,-147.5333,-21.05,81,100,0.0,US,1701513574
105,porbandar,21.6422,69.6093,29.45,43,0,5.74,IN,1701513349
106,khandyga,62.6667,135.6,-31.28,99,100,1.18,RU,1701513576
107,kasongo-lunda,-6.4667,16.8167,31.78,45,75,1.86,CD,1701513577
108,talnakh,69.4865,88.3972,-24.89,93,7,2.26,RU,1701513578
109,san julian,21.0167,-102.1667,13.2,80,100,1.2,MX,1701513579
110,quellon,-43.1167,-73.6167,6.25,85,46,3.37,CL,1701513580
111,stanley,54.868,-1.6985,-1.51,100,0,0.51,GB,1701513580
112,sao paulo de olivenca,-3.3783,-68.8725,22.85,99,100,0.79,BR,1701513581
113,kristiansund,63.1115,7.732,-3.64,86,75,2.06,NO,1701513582
114,afaahiti,-17.75,-149.2833,26.93,85,22,7.97,PF,1701513583
115,constantia,44.1833,28.65,19.28,72,14,6.77,RO,1701513584
116,callao,-12.0667,-77.15,20.4,88,100,2.06,PE,1701513585
117,sao francisco,-15.9486,-44.8644,30.47,40,90,1.47,BR,1701513585
118,kayangel,8.0823,134.7173,28.98,77,57,7.64,PW,1701513586
119,carlos chagas,-17.7031,-40.7664,27.95,54,100,1.0,BR,1701513587
120,pangai,-19.8,-174.35,26.31,84,6,7.51,TO,1701513588
121,kapoeta,4.7717,33.5903,35.54,24,72,5.41,SS,1701513589
122,geraldton,-28.7667,114.6,22.23,73,2,7.2,AU,1701513590
123,chibougamau,49.9168,-74.3659,-22.21,77,0,0.0,CA,1701513591
124,basoko,1.2391,23.616,30.79,54,84,1.84,CD,1701513591
125,oriximina,-1.7656,-55.8661,26.27,76,92,1.7,BR,1701513592
126,burutu,5.3509,5.5076,30.87,63,92,2.02,NG,1701513593
127,avarua,-21.2078,-159.775,24.03,83,75,3.6,CK,1701513594
128,uruzgan,32.8333,66.0,13.24,26,79,1.87,AF,1701513595
129,pangody,65.85,74.4859,-15.56,95,94,5.29,RU,1701513596
130,valparaiso,-33.0393,-71.6273,10.8,87,0,0.0,CL,1701513597
131,port macquarie,-31.4333,152.9167,20.5,89,91,1.4,AU,1701513414
132,west island,-12.1568,96.8225,27.99,69,42,5.66,CC,1701513598
133,dunedin,-45.8742,170.5036,13.22,89,99,0.45,NZ,1701513599
134,hervey bay,-25.2986,152.8535,24.93,88,100,6.23,AU,1701513600
135,port alfred,-33.5906,26.891,22.32,73,100,2.68,ZA,1701513601
136,minas de marcona,-15.2119,-75.1103,13.85,88,53,5.02,PE,1701513602
